arm,rotatable_bonds,n,strain_median,strain_mean
TargetDiff,0,776,77.002,603.848
TargetDiff,1,959,137.504,5619.89
TargetDiff,2,1007,204.828,23614.056
TargetDiff,3,955,264.578,17532.441
TargetDiff,4,792,384.459,74543.998
TargetDiff,5,700,520.434,436051739.715
TargetDiff,6,526,569.137,118501.357
TargetDiff,7,415,733.7,145678.021
TargetDiff,8,329,800.878,105437.215
TargetDiff,9,253,1138.608,246350.889
TargetDiff,10,199,1426.127,195187.41
TargetDiff,11,125,1282.485,232073849.929
TargetDiff,12,75,1983.519,191848.651
TargetDiff,13,48,1057.692,138174.159
TargetDiff,14,35,1824.924,330493.653
VoxBind,0,500,11.636,7024.896
VoxBind,1,915,18.853,2757.674
VoxBind,2,947,32.409,3845.71
VoxBind,3,1058,41.147,12492.503
VoxBind,4,996,56.958,558999543.086
VoxBind,5,894,76.568,84450.273
VoxBind,6,663,105.147,1259628800.796
VoxBind,7,516,108.959,78540.71
VoxBind,8,382,154.299,63436.561
VoxBind,9,230,232.737,39071.689
VoxBind,10,151,329.234,897585734.982
VoxBind,11,123,287.423,265790.639
VoxBind,12,93,301.454,2644561843.001
VoxBind,13,80,457.613,712558.055
VoxBind,14,56,345.832,223132.727
VoxBind + Ours,0,499,12.861,93.062
VoxBind + Ours,1,851,25.865,3522.837
VoxBind + Ours,2,905,41.897,13490.753
VoxBind + Ours,3,985,61.841,15191.416
VoxBind + Ours,4,1112,81.052,43638.292
VoxBind + Ours,5,1005,98.253,2721453277.079
VoxBind + Ours,6,749,128.76,11713097501.272
VoxBind + Ours,7,619,177.94,341802.476
VoxBind + Ours,8,412,270.766,6269558.361
VoxBind + Ours,9,238,192.824,36792052.885
VoxBind + Ours,10,165,264.314,14782862015.985
VoxBind + Ours,11,106,313.575,19612325671.852
VoxBind + Ours,12,56,304.507,306443018696.524
VoxBind + Ours,13,40,550.444,147331.802
VoxBind + Ours,14,29,917.955,178527.05
Reference ligand,0,18,12.864,38.026
Reference ligand,1,26,12.617,34.295
Reference ligand,2,25,10.722,32.079
Reference ligand,3,25,25.434,39.628
Reference ligand,4,23,24.15,63.088
Reference ligand,5,29,26.884,61.179
Reference ligand,6,23,48.125,112.767
Reference ligand,7,21,53.633,111.803
Reference ligand,8,16,56.19,146.886
Reference ligand,9,12,64.367,85.273
Reference ligand,10,8,,
Reference ligand,11,2,,
Reference ligand,12,0,,
Reference ligand,13,1,,
Reference ligand,14,1,,
